group_key,dataset,gt_x,gt_y,gt_h,est_x,est_y,est_h,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,distance_residual_cm,distance_weight,measured_angle_deg,predicted_angle_deg,angle_residual_deg,angle_weight,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,yaw_weight
624_x2.000_y3.000_h0.0,624,2.0,3.0,0.0,2.2,2.85,20.0,49,front,4.449,4.230312752199896,0.21868724780010407,21.868724780010407,1.0,37.2,60.88302745306254,-23.68302745306255,0.5,-57.1,-49.11697254693746,-7.983027453062533,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,37,front,2.672,2.6662037068146898,0.005796293185310386,0.5796293185310386,1.0,36.9,37.129773791956325,-0.22977379195631897,0.5,40.7,37.44227379195627,3.257726208043721,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,38,front,2.218,2.217660515505016,0.00033948449498399924,0.033948449498399924,1.0,15.8,17.02737788794309,-1.227377887943078,0.5,15.2,17.33987788794309,-2.1398778879431006,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,39,front,2.147,2.1378947864260183,0.00910521357398153,0.910521357398153,1.0,-10.8,-8.353436374314384,-2.446563625685627,0.5,-12.2,-8.040936374314356,-4.159063625685633,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,40,front,1.787,1.790453930746181,-0.0034539307461811664,-0.34539307461811664,1.0,-23.8,-25.750105352383855,1.9501053523838436,0.5,60.5,64.56239464761614,-4.062394647616145,0.05
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,45,rear,2.848,2.868681918223602,-0.020681918223602214,-2.0681918223602214,0.5,9.1,5.6570156082080985,3.442984391791896,0.2,5.4,5.9695156082080985,-0.5695156082080928,0.01
624_x2.000_y3.000_h90.0,624,2.0,3.0,90.0,1.9687499999999998,3.0281250000000006,89.6875,46,rear,2.986,2.9266001026826616,0.059399897317338635,5.9399897317338635,0.5,-11.5,-13.178263231115693,1.678263231115693,0.2,-2.3,-12.865763231115693,10.565763231115682,0.01
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,41,front,1.023,1.0246556649680554,-0.0016556649680554703,-0.16556649680554703,1.0,39.3,39.40129014289036,-0.10129014289037741,0.5,44.4,42.83879014289036,1.5612098571096453,0.05
624_x2.000_y3.000_h180.0,624,2.0,3.0,180.0,2.00625,3.0000000000000004,176.5625,42,front,0.775,0.773970970331887,0.001029029668113024,0.1029029668113024,1.0,-22.4,-22.540682960072957,0.1406829600729509,0.5,-28.3,-19.103182960072957,-9.196817039927055,0.05
624_x2.000_y3.000_h270.0,624,2.0,3.0,270.0,1.99375,2.9875,270.15625,38,rear,2.216,2.2302425454762385,-0.014242545476238266,-1.4242545476238266,0.5,20.0,16.73749034984587,3.2625096501541293,0.2,-3.8,16.58124034984587,-20.381240349845882,0.01
